topic_id	tokens	alpha
0	partierna val riksdagen folkomröstning politiska partier kommunala kammaren folket väljarna majoritet parti system nuvarande års systemet parlamentariska regering frågor demokratin partiernas riksdagens majoritetsval bör folkomröstningen oppositionen valsystemet demokrati proportionella reform socialdemokraterna valen författningen valsystem författningsfrågan författning riksdag ger demokratiska erlander mandat folkomröstningar svenska grundlagen parlamentarismen samlingsregering gemensamma regeringen socialdemokratin förslag demokratins kammare makten debatten socialdemokratiska ställning kommunalval beslutande partiet parlamentarism sambandet majoriteten ledamöter folkets författningsutredningen frågorna valsättet sammansättning statsministern gemensam frågan största folkviljan representation borde stark demokratisk debatt kommunalvalen parlamentariskt medborgarna valdagen kravet parlamentarisk regeringsmakten minoritet oppositionspartierna samband övergång riksdagsval allmänna inflytande småpartier tanken krav samregering tvåpartisystem borgerliga parlamentarismens sverige författningsutredningens representativa rådgivande väljare möjlighet reformen land författningsreform personval starka röst rikspolitiken betydelse samverkan liv enkammarriksdag rättvisa opposition ordning överrepresentation demokratiskt gång ändring enda proportionell regeringar införa proportionellt stället grundlag riksdagsmän kommunalpolitiken livet kammarens representationen intresset rikspolitiska enkammarsystem valsätt rösta avgörande möjligheten införande författningsreformen konstitutionella mening valkretsar direkta valdag lösning kräver valmetoden landsting alltför väljas röster gällande procent övergången utslag vald väljs kommunalt reformer väljarnas kommuner statsminister opinion tvåkammarsystemet praktiken växling leda förslaget hälften omröstning majoritetsstyre permanent gamla flertal strid kompromiss välja enmansvalkretsar skapa oppositionens kommunerna minoriteten folkvalda argument mandatperioder behövs utses republik statsskicket ändra riks- fördelning församlingar enmanskretsar andrakammarval	0.008432923934136066
1	läkare sjukhus vård sjukvården sjukhuset människor politiskt läkarna patienter sjuka medicinska sjukvård vården sjukdom landstinget hjälp läkaren sociala samhället socialstyrelsen politisk hälsa handikappade stockholm behandling personal sjuk narkotika sjukdomar problem personalen patienterna patienten psykiska sverige medicinsk socialvården hälso- psykiatriska gamla professor psykiskt aids karolinska alkohol sjukdomen hand sjukhusen psykiatrisk personer missbruk medicin anser grund antalet landstingen förebyggande landsting arbetar psykiatrin barn svårt utvecklingsstörda psykisk social missbrukare fråga överläkare svåra mentalsjukhus arbete patient behöver missbruket skador psykiatri socialarbetare cancer landstingets resurser krum läkarnas sjukvårdens socialstyrelsens gertrud läkemedel doktor sigurdsen behov utbildning friska kräver bengt skriver ansvar äldre socialvård narkomaner stockholms kliniken tvång operation lider behandlingen åtgärder frisk alkoholister bota stöd minska exempel medicinalstyrelsen verksamheten vårdplatser droger tillstånd politikerna undersökning nykterhetsrörelsen samhällets pengar intagna gunnar grupp förslag psykiater socialt medicinskt anhöriga sjukhusets forskning narkotikan klinik hjälpa vårdas långvården socialarbetarna brist landstingsförbundet handikapp hem riksförbundet behövs ungdomar tandläkare människa sjuksköterskor kriminalvården handikappades ansvariga hälsovård kliniker tas avdelning fall fri ges öppna slutna sprit emot spriten rexed diagnos vuxna hälsotillstånd drabbas ansvaret satsa insatser läkarens socialvårdens verksamhet bristen dessutom kampen göran största nyligen alkoholen hemmet göteborg ålderdomshem dålig kontakt sluten anställda lidande platser borde mentalsjukhusen socialminister privata läkarförbundet undersökningar arbeta socialdepartementet fångvården södersjukhuset psykologer	0.014059246833973927
2	ansåg ville menade debatten talade tyckte gav svarade borde frågan politiska debatt fråga förklarade framhöll frågade gång gällde berättade påpekade trodde professor diskussionen talare fann frågor hävdade väl sorn tala diskussion undrade visade höll inlägg svar föredrag talaren anförande ställde enda stället höra hela övrigt konstaterade försökte ganska såg ämnet underströk handlade program själva fortsatte veta däremot medan betonade programmet stod lät mening ordet riktigt tal synpunkter samtalet saken alls inledde diskuterade egentligen verkade först nämligen samtal saker kvällen sak tänka denne visste tycktes fel framgick exempel replikerade låta hörde drog annars nämnde frågorna politiskt medgav sätta förde folk började ord tillfälle försäkrade gången alltför följde fru tydligen efterlyste diskutera rörde aktuella åsikter ordföranden uppfattning sades överens föreföll varnade slutade gånger par publiken lyssnarna emot alldeles kritiserade redogjorde uttryckte deltagarna berörde talarna herr redaktör påstod yttrade betecknade föra önskade närvarande hoppades satt förekom argument anledning diskuterades tisdagskvällen läste representant allmänna punkt intryck debatter syn tor docent varandra påminde svara slut satte deltog svaret småningom togs replik försvarade pekade efteråt inleddes citerade inställning ställa fast delade intresserade intresse hänvisade låg punkten sökte röst kände avslutade krävde ställdes representanter direktör lyssna tänkte direkt slog tagit kvällens långa erkände instämde besked statsrådet vände	0.027018070964586128
3	teater pjäsen teatern pjäs politisk scenen publiken föreställningen skådespelare föreställning spelar pjäser scen dramaten spelas spela premiär stadsteater handlar teaterns stockholm brecht skådespelarna uppsättning publik regi fria stadsteatern politiska regissören operan regissör peter pjäsens skrev författaren drama göteborg föreställningar stycket spelet lars roller spelade opera scener dramatik gruppen komedi musik brechts akten dramatens sorn handlingen stycke rollerna rollen roll premiären ger ges weiss malmö författare kväll ensemblen dramat konstnärliga shakespeare texten skrivit heter gästspel svensk spel satir stockholms dramatiker strindberg göteborgs dramatiska sverige nya teatrar uppsättningen skådespel anders hamlet spelades utsålt gången ensemble fars bengt hela politiskt skådespelaren göran huvudrollen dario pjäserna sven teaterchefen salongen svenska strindbergs leif pistolteatern bilj andersson text stadsteaterns bygger narren jan mats riksteatern spelat unga revy konstnärlig regisserat spelats grupp sjunger roligt skriven proteatern shakespeares theatre musiken står lysande bästa satt sett johan teatrarna version klassiker lång underhållande alf rolig repertoar föreställningens -talet spelad wollter sjöberg modern aktuell radioteatern allan bergman underhållning urpremiär hus turné budskap lena balett scenerna regissörer stefan verdi kent paris dekor föreställningarna personer skrevs uppsättningar birgit musical uppsala höst succé edwall teatergruppen maria programmet börjar scenografi anita repertoaren baletten ingmar början moderna regin huvudrollerna visa fri runt teaterchef dramatikern shaw dramatisk	0.016128160852289266
4	uppmärksamhet intresse väckt kring väckte intresset debatten största debatt tid väcka uppmärksamheten uppseende pressen betydelse massmedia press hela allmänna kretsar politiskt väcker problem håll radio tidningar ägnas massmedierna publicitet viss opinionen främst nämligen naturligtvis allmänheten världens uppståndelse starkt fästa speciellt nästan tilldrar ägna dessutom ägnar tidningarna föremål internationella utrymme opinion centrum medan rubriker gett händelser samband sensation fråga årets allmänhetens förvåning vikt betydande tidningarnas diskussion fäster nyligen följa diskussioner rikta internationell särskild föga sammanhang kritik aktuella folk diskussionen publiciteten inslag fäst satt ägnat visat ganska följer främsta ägnats allmän vanligt livlig anledning naturligt ämnen avseende däremot allmänhet själva insatser påfallande givetvis ägnade effekt rapporter ämnet tanke nyhet liksom tilldragit bevakning sker brukar mycken riktas skapa utomlands irritation rad debatter enorm gång artiklar enormt intressanta viktiga intresserade övrigt framträdande tagit sida valt bidragit uppmärksammade tycks händelsen koncentrerar dramatik känt höstas intensiv kommentarer omfattande aktivitet annars uppseendeväckande sällan betraktas indignation rönt nyheten ytterligare anledningen inlägg kommentarerna uttalar behandlas faktum pressens dragit grad verket händelse utsträckning fånga föra internationellt livligt tilldrog ytterst berättigad engagerat koncentrerat allmänt koncentrera oerhört förtjänar omständigheterna plats synpunkt uppmärksammad extra rabalder betydelsefulla skrivits sägas alltför diskussionerna uppmärksammat skymundan massmediernas fallet slag berör liknande koncentreras omvärldens flitigt tämligen notis utspel	0.009752390288376852
5	japan kina japanska usa kinesiska japans amerikanska tokyo chiang peking formosa japanerna asien taiwan kineserna fjärran kinas kommunisterna tibet macarthur östern singapore japansk premiärminister hongkong indien burma korea malaysia asiatiska kai-shek kommunistiska lama tanaka dalai filippinerna fastlandet ldp kriget stilla amerikanerna nakasone washington indonesien kineser premiärministern amerikansk kinesisk general ledare sydostasien japanske macarthurs mongoliet sydkorea japaner tibetanska sun miljoner thailand havet japanskt folkrepubliken kinesiskt president kommunisternas tokio takeshita indokina kejsaren besök nyligen burmas militära manchuriet sovjet pekings kuomintang lee brittiska rangoon siam kai-sheks malacka kommunist-kina asiens taiwans världskriget diplomatiska quemoy chiangs anses sato suzuki koreakriget win liberaldemokratiska korrespondent pearl hirohito japanernas malaysias dulles östasien amerikanskt tanakas san kinesernas lumpur ockupationen lhasa miki mao kommunistkina ekonomiska yoshida regering kommunismen kuala fukuda taipeh ohira länderna bangkok världen parlamentet york nordkorea länder oja området okinawa nationalistiska område asiatisk malaya singapores yasuhiro indiska kakuei största nakasones harbor nationalisterna truman relationerna världens hjälp abdul mongoliska bedömare ledarna eisenhower resa malajerna madame mac öarna australien formosas tokyos kaishek förbindelserna ingvar amerika nanking takeo allierade kejsarens aung hiroshima kapitulationen fortfarande öar amerikanske liberaldemokraterna yttre enorma säkerligen mishima plats peiping handeln tibets soong förbindelser yen tibetaner lamas kishi shimada kustöarna yat-sen amerikaner arthur malajer regeringspartiet kanton cheng britterna	0.006627297520930475
6	til ikke der vil paa fra dette ved vaere skal seg denne politisk jeg alle også andre saa norge danska hvis selv hvor kunne danmark hvad gang norska land disse store ogsaa nok noe tid meget maa politiske folk når norsk danske mod bäre ville norske etter sorn deres side svenske end dansk mange samme noén vel nye hele sverige verden naar mere sine derför kun forhold uden enn ting vsere opp verland information verdens slik bie havde vilde förste nordiske godt bliver arnulf noget blive mellom stilling krigen ganske grad tidende ene langt endnu stortinget hva havé fordi finner överland naturligvis synes ind mellem frem vor lov harn flere tale spörsmålet gjelder lande holde mening skulde berlingske interesse videre enkelte social-demokraten tidningen anden siden arbeiderbladet enhver inn vaeret köpenhamn svensk samtidig hadde faa forslag kommunistiske nogen krav dens stille andet hensyn gennem imidlertid professor vaert landet visse rent komme danmarks arbeiderpartiet saadan hvilken allerede forsvar sikkert norden samarbeid nordisk tage regjering liv regjeringen maade betydning samarbejde annet demokratiske uten klar spörsmål mener sak eneste hvordan baade sker kommet måtte debatten blitt stadig dog medlemmer russiske sammen give vise mulig mens vilje sige svar overfor möderne dtdvtovscphtv heiberg hvorfor frie	0.0009159558197247852
7	militära soldater armén trupper gränsen vapen militär kriget styrkor trupperna tillbaka gerillan armé staden striderna strider general norr krig militärt soldaterna civila order senaste söder området område styrkorna norra landet förband hela officerare uppgifter nära hjälp södra omkring huvudstaden väpnade medan fronten längs arméns samtidigt anfall läget rapporter mål områden röda befolkningen styrka delar angrepp flyg rebellerna nya stridsvagnar uppgift offensiv plan uppges kontroll fortfarande antal hålla mil sidan största baser håller dra högkvarter sida beväpnade stöd politisk eld dödats dessutom strid öster viktiga flygplan väg förluster invasion veckor kring hittills månader kilometer ytterligare män invasionen sätta utrustning operationer överste omfattande östra började artilleri reguljära hävdar kampen fienden runt regeringen situationen strategiska territorium hand styrkan direkt städer snabbt operation vapnen divisioner soldat officer ledning offensiven slå generalen städerna dödades krigsmakten befäl ammunition gerillans antalet enheter bergen gräns allierade byar döda motstånd befälhavare inbördeskriget lokala flottan befinner helikoptrar pågår dras väster sårade sättas tunga attacker planen håll främst bedömare häftiga delarna krigföring sända slåss beredskap striden civilbefolkningen tagit timmar förklarade sidor ställningar skydda attack slut stridande bas tusen veckan närheten därifrån försvara troligen stad attacken inbördeskrig strategiskt förstärkningar brittiska börjat källor militären chef hem militärer högsta materiel tusentals officerarna skala stupade	0.02896839403091059
8	myrdal jan indonesien holländska holland alva indonesiska myrdals sukarno indonesiens gunnar politiska guillou holländarna java djakarta amsterdam suharto van nya haag timor holländsk fru östra guinea hofsten vapen bilden hollands fib sukarnos västra juliana sumatra president holländare greta holländske soekarno kulturfront hassner regeringen rune republiken sundman professor indonesisk europa guillous sparring östtimor fretilin subandrio serie nederländska drama indonesiske drottning indien program sociala der gun holländskt handlar befinner striderna nederländerna delar kommunister jakarta batavia öarna sydmoluckiska carlzon gyttorp rotterdam suhartos lubbe kort indoneserna frankrike uyl asiatiskt bernhard udt kessle öar nasution drees sydmoluckerna malik uppdrag republikanska asien skildrar författarförbundet gehlin -talets golkar joop sukamo miljon ib-affären statsrådet provos beatrix celebes ockupationen borneo soekamo bondekrig buru amsterdams ostindien december japanska kuppförsöket centralregeringen republikens mårtenson nederlag muhammedanska kriget surinam holländarnas makarna manusama bali indoneser timors julianas singapore självständighet pariskommunens malaysia indonesier sökt befolkningsfrågan kamp sydmolucker moluckerna självständigt asian öst-timor ruud religiösa myrdalska sukamos framåt willem sari agt hofstens indonesiskt antirevolutionära myglaren kvällens adam djakartas invasionen ögruppen misslyckade portugisiska brännpunkt fretilins pieter konflikten sydasien hassners övärlden rekord-magazinet kalvinistiska skriftställning presidenten författarförbundets mentén mook hofmans främste parlamentet hans-göran talets provinsen javas kolonin javanesiska marina kina drottningen protestantiska australiska ib-kommittén sydmoluckernas författarförbund radikalism indonesierna lubbers geneve	0.004223120845516523
9	väl fall borde ens tycks politisk naturligtvis politiskt svenska själva exempel enda tro fel vet tror gång svårt bör ord låter nämligen sak riktigt alldeles alltför stället verkar däremot tydligen tala egentligen låt tycker brukar nästan sett hör faktiskt vilja visserligen illa rent egna säkert politiker tyvärr låta behöver visst alls egen står veta förstå allvar visar saken tänka ganska sant annars fast brist människor anledning viss ser slags menar svensk bästa känner kalla numera dessutom finner politik sällan talar fallet förstår personer verkligheten förefaller påstå person tid sanningen rätta saknar verket givetvis dra fullt vanliga mening vare fortfarande sammanhang håll faktum saker hålla förmodligen smula finna intryck allmänhet vissa exempelvis dåligt lär argument vågar ena visa påstår huvud övrigt dåliga förklara grad känna ifrån tal sägas snarare närmast allra medan liksom dålig höra omdöme ting onekligen beror föga förstås slag ter sorts bristande döma kallas tanken förmåga fullkomligt ger precis dagens vanligt fullständigt förvisso kritik stå okunnighet fakta tycka desto totalt sannerligen faller misstag ställa ungefär förnuft rena drar räcker ren tänkt visat artikel resonemang minsta djupt mån tagit eget försöker tämligen någonsin moral sidan sanning dvs synnerhet närmare hel moraliskt verkliga använda råkar undrar högt hemma mesta talet	0.09248200110559433
